alpha	lambda	AUC
0	0.1	0.7160478335478335
0	1	0.7240585899488339
0	2	0.7220262989470306
0	3	0.7208620275327593
0	4	0.7199392694087816
0	5	0.7192605802666778
0	0.1	0.6853555864226596
0	1	0.6872030070139826
0	2	0.68565041783944225
0	3	0.6845769558757364
0	4	0.6838472523045693
0	5	0.6832152396298737
0	0.1	0.714654820325552
0	1	0.7255033683509293
0	2	0.7251128140335458
0	3	0.7245101469064884
0	4	0.7240771154429692
0	5	0.723640310170798
0	0.1	0.7017542542542543
0	1	0.7024313206935158
0	2	0.7012087540502174
0	3	0.7003877108816133
0	4	0.6996712540066199
0	5	0.6992265165862727
0	0.1	0.7076607051302173
0	1	0.7134686602979285
0	2	0.7124526041721164
0	3	0.7113400464924855
0	4	0.7107947738679447
0	5	0.710304768182817
0	0.1	0.7271544436422486
0	1	0.7252138575858088
0	2	0.7215230265108314
0	3	0.719505377328548
0	4	0.7180751378556257
0	5	0.7172133701645896
0	0.1	0.6777317047012169
0	1	0.6818581534496169
0	2	0.6811122524963988
0	3	0.6805199554955652
0	4	0.6801718626291797
0	5	0.6797889457401652
0	0.1	0.7112723821382358
0	1	0.7108604266287193
0	2	0.7096487009657741
0	3	0.7089656974047218
0	4	0.708320546155912
0	5	0.7078853557390142
0	0.1	0.7135400897413092
0	1	0.7178379285208554
0	2	0.7147522705632462
0	3	0.7131597651658628
0	4	0.711913800560142
0	5	0.7111409118177411
0	0.1	0.7039435550533112
0	1	0.7131526587563173
0	2	0.7108054884152445
0	3	0.7093375596851207
0	4	0.7082923524569866
0	5	0.7077080032994667
0	0.1	0.7075897979861394
0	1	0.7094314872363653
0	2	0.7081476328244621
0	3	0.7070690123921831
0	4	0.7064077239260166
0	5	0.7059629638349151
0	0.1	0.675882083302815
0	1	0.6862400100448881
0	2	0.686413447419545
0	3	0.6859406723796968
0	4	0.6855405222295466
0	5	0.6851592010128595
0	0.1	0.708714278738669
0	1	0.7234147806342929
0	2	0.723438406176211
0	3	0.7229802616205055
0	4	0.7226228876960584
0	5	0.7221576576576577
0	0.1	0.6985382333553065
0	1	0.7034869817552745
0	2	0.7022461137095284
0	3	0.7013248806297587
0	4	0.7006427664598396
0	5	0.7001885090665578
0	0.1	0.707064645656109
0	1	0.7096380378636477
0	2	0.7095162767296914
0	3	0.7092666874191265
0	4	0.7091962179949984
0	5	0.7090279172901124
0	0.1	0.7042884347762397
0	1	0.7062968116199824
0	2	0.7053363276168154
0	3	0.7046399901643804
0	4	0.7041544828800926
0	5	0.7037104822592628
0	0.1	0.7095652010895913
0	1	0.7146565119126095
0	2	0.7126750034006132
0	3	0.7112497349265642
0	4	0.710262679055362
0	5	0.7096667277033131
0	0.1	0.7055323799409166
0	1	0.7071265716936449
0	2	0.7065653004921297
0	3	0.706163943560285
0	4	0.7058883308395504
0	5	0.7056837307690966
0	0.1	0.7246730197096051
0	1	0.7234855264672337
0	2	0.7205091833994273
0	3	0.7188858501358502
0	4	0.717822966694918
0	5	0.7171406877260535
0	0.1	0.6852617033409717
0	1	0.694877335523677
0	2	0.6937925992194285
0	3	0.6929616785775322
0	4	0.6921908223554565
0	5	0.6915131978668564
0	0.1	0.6916290820437162
0	1	0.7062699023064877
0	2	0.7077643732582757
0	3	0.7083620754901243
0	4	0.7084630056886154
0	5	0.708479636430856
0	0.1	0.6650886103873909
0	1	0.677581232800745
0	2	0.6777630566106176
0	3	0.6773645779926267
0	4	0.676817524841915
0	5	0.6765163246870564
0	0.1	0.7201084874072678
0	1	0.7276910673739942
0	2	0.7267761175809956
0	3	0.7257127379993233
0	4	0.72500674978114
0	5	0.7244032542995957
0	0.1	0.7086093323288445
0	1	0.712227672794746
0	2	0.7096454982857422
0	3	0.7079427947110875
0	4	0.7067767942158186
0	5	0.7060425486462072
0	0.1	0.7019868474746523
0	1	0.708929444252615
0	2	0.7086912792583524
0	3	0.708035273077956
0	4	0.7075067227506252
0	5	0.7070854643842449
0	0.1	0.7012539577905431
0	1	0.7065554317383586
0	2	0.7053086823757555
0	3	0.7042638570626376
0	4	0.7036533162081943
0	5	0.7032256655610314
0	0.1	0.6939992056516446
0	1	0.7010744437817609
0	2	0.7002851527485674
0	3	0.6993047725425774
0	4	0.6986239104958617
0	5	0.6981755248279639
0	0.1	0.6888506258872112
0	1	0.6987747381527869
0	2	0.6988689743750719
0	3	0.6989693482681287
0	4	0.698891302452278
0	5	0.6988195407951505
0	0.1	0.702967071601218
0	1	0.7022175520468203
0	2	0.7003851220558538
0	3	0.6994425209181306
0	4	0.6986732063073526
0	5	0.6981953826648949
0	0.1	0.7130417621454207
0	1	0.7091887558289998
0	2	0.7064953934771008
0	3	0.7049135293830416
0	4	0.7039099569953229
0	5	0.7031747906443029
0	0.1	0.7413483038787917
0	1	0.7393835045847241
0	2	0.7361358632151315
0	3	0.7343272889614353
0	4	0.7333378918988676
0	5	0.7326759860906202
0	0.1	0.7033540980004395
0	1	0.6993006333859992
0	2	0.6967313506886678
0	3	0.6952524004841079
0	4	0.694411225685616
0	5	0.6937927866891281
0	0.1	0.7132092493190054
0	1	0.7058503939479549
0	2	0.7018814040521357
0	3	0.6998531353653304
0	4	0.6988197212892335
0	5	0.6981636061148256
0	0.1	0.7001302513314709
0	1	0.7022241091265482
0	2	0.7006813111020428
0	3	0.6995909611702295
0	4	0.6987937929218417
0	5	0.6982737266883609
0	0.1	0.719728387795461
0	1	0.7219535371608542
0	2	0.7193864639901225
0	3	0.7176800493873665
0	4	0.7165966558893389
0	5	0.7158604737141323
0	0.1	0.7254393984576911
0	1	0.722562928782441
0	2	0.7205064428540038
0	3	0.7193593829020658
0	4	0.7186317720159183
0	5	0.7180802971961509
0	0.1	0.6971218457133092
0	1	0.6947017697139648
0	2	0.6922715145459047
0	3	0.6908676455200845
0	4	0.6900762670335842
0	5	0.6894384288469654
0	0.1	0.6842628107201278
0	1	0.6924130445776787
0	2	0.6917087087087087
0	3	0.6911049298427347
0	4	0.6907687687687688
0	5	0.6903517759920199
0	0.1	0.7016733711062979
0	1	0.7089055710763028
0	2	0.7087204835497518
0	3	0.7083372980994932
0	4	0.7078246661295442
0	5	0.7074981968030749
0	0.1	0.7077766023863585
0	1	0.7135270505697335
0	2	0.7119783006002518
0	3	0.7108056366471001
0	4	0.7101675743687939
0	5	0.7094909822714701
0	0.1	0.6759471579593531
0	1	0.6834597742341645
0	2	0.6828094810838713
0	3	0.682218596645426
0	4	0.6817904289306729
0	5	0.6814998692071863
0	0.1	0.7161211839016717
0	1	0.7191733920331481
0	2	0.7173061502268819
0	3	0.7161966530990921
0	4	0.71547189611214
0	5	0.7148803228315423
0	0.1	0.7065422103287957
0	1	0.7120454845088992
0	2	0.7121585601280723
0	3	0.7117505057322131
0	4	0.7115719874927192
0	5	0.7112503060551841
0	0.1	0.6832882429467796
0	1	0.6884769115805701
0	2	0.6874843475880061
0	3	0.6870513309476725
0	4	0.6866913838926034
0	5	0.6864111524416403
0	0.1	0.6873940822355457
0	1	0.6998020677471897
0	2	0.7005441059526425
0	3	0.7002765997705022
0	4	0.700046550906307
0	5	0.6999482827775511
0	0.1	0.7012799873043776
0	1	0.7096482946360995
0	2	0.7095251052446174
0	3	0.7092356494124787
0	4	0.70888196210147425
0	5	0.7086069292288805
0	0.1	0.6899711802394729
0	1	0.6978144128449006
0	2	0.6958021959241472
0	3	0.6941148918953797
0	4	0.6928966135124672
0	5	0.6920608474327986
0	0.1	0.6982679534935633
0	1	0.7050857373052495
0	2	0.7038346168468119
0	3	0.7028157155413253
0	4	0.7021363767949134
0	5	0.7016264844984357
0	0.1	0.7029458500312159
0	1	0.7056120972889266
0	2	0.7043560677402141
0	3	0.7035410061629573
0	4	0.7030191890496769
0	5	0.7025322726908093
0	0.1	0.7239837424532547
0	1	0.727335942213991
0	2	0.7251589603540823
0	3	0.7238683962708353
0	4	0.7230404986868402
0	5	0.7224718612340564
0	0.1	0.6875330931977274
0	1	0.6975543383104359
0	2	0.696820917607503
0	3	0.6959896848067579
0	4	0.6953615985323303
0	5	0.6947398147276196
0	0.1	0.6899403497574229
0	1	0.6944884998238657
0	2	0.6925328821853212
0	3	0.6915102454370747
0	4	0.6908378936427717
0	5	0.69030148615514475
0	0.1	0.6966727886423009
0	1	0.7037711675089724
0	2	0.7030778452668697
0	3	0.7023852528486675
0	4	0.7019423072898683
0	5	0.70148976066659
0	0.1	0.7078547432449872
0	1	0.7124443188833433
0	2	0.7113264728142777
0	3	0.7104662964358086
0	4	0.7098111229696595
0	5	0.7093909371043517
0	0.1	0.7015362296094003
0	1	0.702173657106584
0	2	0.701024280377939
0	3	0.700105923868119
0	4	0.6995391454171942
0	5	0.6990160177599202
0	0.1	0.7497645938621549
0	1	0.7478200369358906
