alpha	lambda	AUC
0	0.1	0.6231068960947009
0	1	0.6474615155224911
0	2	0.6482420469249738
0	3	0.6482347547896329
0	4	0.6479758286160725
0	5	0.6476696208403525
0	0.1	0.5764277980070663
0	1	0.5911586769696526
0	2	0.5927274312640166
0	3	0.5930352591267225
0	4	0.5929304504853286
0	5	0.5929112056307179
0	0.1	0.6253002078733786
0	1	0.6478585545475789
0	2	0.6504765244338415
0	3	0.6509316877853464
0	4	0.6510365670548598
0	5	0.6509255291877243
0	0.1	0.6194207622256402
0	1	0.6264596373376862
0	2	0.6270663259077893
0	3	0.6269881728418314
0	4	0.6269929084136401
0	5	0.6268167871704458
0	0.1	0.6045559915316013
0	1	0.6268304375804375
0	2	0.6294152610798952
0	3	0.6298210318332269
0	4	0.6299334595919962
0	5	0.6300412084558427
0	0.1	0.6208263943385894
0	1	0.6375867487696756
0	2	0.6385045132240255
0	3	0.6383371847457213
0	4	0.6380565077272394
0	5	0.6378090669066279
0	0.1	0.5904176755152365
0	1	0.6045799667263082
0	2	0.6064909657043803
0	3	0.606937996358728
0	4	0.607144094442875
0	5	0.6071754637913175
0	0.1	0.6196552449662206
0	1	0.6356800014300015
0	2	0.6377038327526132
0	3	0.6381347819945381
0	4	0.6381736605943923
0	5	0.6382281532403483
0	0.1	0.6182844098453855
0	1	0.6328249442822613
0	2	0.6326611934233886
0	3	0.6321628091506141
0	4	0.6317208148915466
0	5	0.6312761803615462
0	0.1	0.6077245834684859
0	1	0.6245243684451002
0	2	0.6265879886855497
0	3	0.6269549680342363
0	4	0.627232829519415
0	5	0.6272823014652283
0	0.1	0.6116946467373297
0	1	0.6252436870668578
0	2	0.626284424668571
0	3	0.6264543245335928
0	4	0.6263327996986534
0	5	0.626341433768263
0	0.1	0.5827657291437779
0	1	0.60927511047633
0	2	0.612921465019026
0	3	0.6144110277524911
0	4	0.6150144839961913
0	5	0.6153925336486312
0	0.1	0.6145993310383554
0	1	0.6408344067063579
0	2	0.6423469227066788
0	3	0.6426656682815219
0	4	0.6425421196457782
0	5	0.6423821766016888
0	0.1	0.5839993102858957
0	1	0.6053331031379812
0	2	0.6078309415687464
0	3	0.6086929952600685
0	4	0.6090861209641697
0	5	0.6092691628911141
0	0.1	0.6207752744033231
0	1	0.637372397658983
0	2	0.639560612005734
0	3	0.6400740330923258
0	4	0.6404185779856512
0	5	0.6404953368002149
0	0.1	0.6272441038599575
0	1	0.6354591935140715
0	2	0.6362066195114976
0	3	0.6360753174777565
0	4	0.63600924705193
0	5	0.6357873570434546
0	0.1	0.6338375945632043
0	1	0.6477848702360898
0	2	0.6484240041435163
0	3	0.6479054716737643
0	4	0.6475805954037661
0	5	0.647368336978093
0	0.1	0.6042544155653912
0	1	0.6303549926232853
0	2	0.6332285238199873
0	3	0.6338624399660985
0	4	0.6341462594999181
0	5	0.6343302178485105
0	0.1	0.6166059927523342
0	1	0.6381573106207252
0	2	0.6401237927823293
0	3	0.6405097763268495
0	4	0.640398642544984
0	5	0.6403525415659562
0	0.1	0.6055509900144046
0	1	0.6264449022192925
0	2	0.6277455094467289
0	3	0.6279054455152017
0	4	0.6276284245918392
0	5	0.6274574304269427
0	0.1	0.6058889534133437
0	1	0.632244394220004
0	2	0.6358724438724439
0	3	0.6371621159487013
0	4	0.6376939666146983
0	5	0.6380617621105427
0	0.1	0.5658085777415046
0	1	0.5957030837457666
0	2	0.599069954972394
0	3	0.6001930615284274
0	4	0.6006295406905163
0	5	0.6007601277235424
0	0.1	0.6358090939371427
0	1	0.6526378067963434
0	2	0.6528411529996896
0	3	0.6527075812746544
0	4	0.6524047209230136
0	5	0.6520757865879817
0	0.1	0.6196663423004887
0	1	0.6406028877309365
0	2	0.6403604022140608
0	3	0.6394955513004293
0	4	0.6391159844513503
0	5	0.6387192244509318
0	0.1	0.6049795274368445
0	1	0.6307273789468911
0	2	0.632918328607353
0	3	0.6334436710229393
0	4	0.6334385221458392
0	5	0.6333717271278247
0	0.1	0.6059977643148375
0	1	0.6218294156525864
0	2	0.6228156527607747
0	3	0.6229474570389205
0	4	0.622967415150342
0	5	0.622958587507368
0	0.1	0.6273026763697496
0	1	0.6445924356412162
0	2	0.6453054090676041
0	3	0.6448695237048896
0	4	0.6446490846246944
0	5	0.6444101427211183
0	0.1	0.6048822140956287
0	1	0.62603043025604
0	2	0.6284385831824856
0	3	0.6295223638272419
0	4	0.6299353961975913
0	5	0.6300265178070056
0	0.1	0.6186657179827911
0	1	0.628190408178213
0	2	0.6282453524953525
0	3	0.6278395922054458
0	4	0.6274673366746537
0	5	0.6271493217956633
0	0.1	0.6234139095541534
0	1	0.6342466377527354
0	2	0.6338589364625951
0	3	0.6333788004031906
0	4	0.6329918891016452
0	5	0.6326411167264826
0	0.1	0.6448042450115621
0	1	0.6576985199485199
0	2	0.6570125857564882
0	3	0.656236538803612
0	4	0.6556191932350469
0	5	0.6551437256071403
0	0.1	0.6126803423632692
0	1	0.6177176479615504
0	2	0.6174688591030054
0	3	0.6170312934886105
0	4	0.6167397981605298
0	5	0.6165134437573462
0	0.1	0.6267118634313756
0	1	0.6331068115153481
0	2	0.6312948497277766
0	3	0.6300364022559145
0	4	0.6292821401540913
0	5	0.6288594003411077
0	0.1	0.6123819219916781
0	1	0.6271064932528347
0	2	0.6284794864550962
0	3	0.6284729511741707
0	4	0.6284597916732063
0	5	0.6281353880012417
0	0.1	0.5932732471147105
0	1	0.6235219234914356
0	2	0.6269009471143617
0	3	0.627809325876399
0	4	0.6281780020438557
0	5	0.6282738932312103
0	0.1	0.6197045102593883
0	1	0.6382075577319479
0	2	0.6395603129261666
0	3	0.6399102377638963
0	4	0.640023928109294
0	5	0.6400151780700561
0	0.1	0.6245841302975449
0	1	0.6439281371964299
0	2	0.6447994640982446
0	3	0.6445334227956179
0	4	0.6443462077059638
0	5	0.6442611383160164
0	0.1	0.5908401528706407
0	1	0.6136209990478283
0	2	0.615649271222442
0	3	0.6161311468262688
0	4	0.6162858886761325
0	5	0.6163406847614165
0	0.1	0.6164854366561684
0	1	0.6344809094809095
0	2	0.6366413922633435
0	3	0.6372281889903841
0	4	0.6374164539103564
0	5	0.6373359073359074
0	0.1	0.621727319654149
0	1	0.6392413327962109
0	2	0.639671741427839
0	3	0.6393106660667637
0	4	0.6390871803859609
0	5	0.6387570889705037
0	0.1	0.5799397943239407
0	1	0.601268408652555
0	2	0.6031261880347246
0	3	0.6037125993589408
0	4	0.6041237936542815
0	5	0.604360138012577
0	0.1	0.626403610056049
0	1	0.6437461930571686
0	2	0.644209578916896
0	3	0.6439662955638565
0	4	0.6436655366167562
0	5	0.6432911587545734
0	0.1	0.6108921037762501
0	1	0.6312681435791192
0	2	0.6343570103204249
0	3	0.635248256095817
0	4	0.6356895344822174
0	5	0.6357905902418097
0	0.1	0.5923396907360322
0	1	0.611947690722081
0	2	0.6143111857502102
0	3	0.6150504293492098
0	4	0.615403647549989
0	5	0.6154051647466282
0	0.1	0.596700073767147
0	1	0.6234695950305706
0	2	0.6269829297939055
0	3	0.6280233909868056
0	4	0.6285890777537119
0	5	0.6289712840017718
0	0.1	0.6143182459462947
0	1	0.6340943530638653
0	2	0.6363955523467719
0	3	0.6369867315050242
0	4	0.6371304771670625
0	5	0.6372003100661637
0	0.1	0.6095802823729654
0	1	0.6244839185875771
0	2	0.6244628321701492
0	3	0.623618641289373
0	4	0.6231135726318653
0	5	0.6226530197444832
0	0.1	0.6254545660643221
0	1	0.6369717522400449
0	2	0.6359570554875433
0	3	0.6350751282641527
0	4	0.6342716226679641
0	5	0.6338259888808669
0	0.1	0.6124078965725307
0	1	0.6290948553082699
0	2	0.6308788719032622
0	3	0.6312536979488199
0	4	0.6311521382009186
0	5	0.6311035155364424
0	0.1	0.6559089071650047
0	1	0.6663868232343843
0	2	0.6641201105286472
0	3	0.662895191358606
0	4	0.6618657411767168
0	5	0.6614441235660747
0	0.1	0.6124214981532055
0	1	0.6300159820098845
0	2	0.6314184480647895
0	3	0.6312069351581546
0	4	0.6307710140454043
0	5	0.6304156569461448
0	0.1	0.5944855691928863
0	1	0.6125190931349468
0	2	0.6138857132393718
0	3	0.614038971898728
0	4	0.6140715236142066
0	5	0.6141280357012064
0	0.1	0.6014823229152497
0	1	0.6187500558049338
0	2	0.6205234511515
0	3	0.6208149368881076
0	4	0.6206505163700285
0	5	0.6205322430444382
0	0.1	0.6237569093483728
0	1	0.6441623208574428
0	2	0.6456715295434807
0	3	0.6458205095339242
0	4	0.6458430878613806
0	5	0.6457863874327289
0	0.1	0.613468893109137
0	1	0.6277930412991388
0	2	0.6293309930139198
0	3	0.6296557768569964
0	4	0.6294960666241154
0	5	0.6294489262781946
0	0.1	0.6621984013630355
0	1	0.6704460627875262
0	2	0.6685689879775246
0	3	0.6672968883517664
0	4	0.6666638397979862
0	5	0.6660389108620816
0	0.1	0.6343802687705127
0	1	0.6512931834273298
0	2	0.6535867574891965
0	3	0.6545031477470502
0	4	0.6546218239145069
0	5	0.6547474390767074
0	0.1	0.6299222523917646
0	1	0.6417573653793166
0	2	0.6419571540181296
0	3	0.641860337689606
0	4	0.6418393864247522
0	5	0.6417342621367012
0	0.1	0.6349361347410128
0	1	0.6488954023710122
0	2	0.6483307610746635
0	3	0.6477138488662879
0	4	0.6472114649492698
0	5	0.6468211233881965
0	0.1	0.6165909916885527
0	1	0.6333904496831326
0	2	0.6360885249360859
0	3	0.6366515147551733
0	4	0.6368048414267926
0	5	0.6367995800678727
0	0.1	0.5800187068601703
0	1	0.6029753150362906
0	2	0.6056435390093927
0	3	0.6062189550177355
0	4	0.6064526538733855
0	5	0.6064628958226519
0	0.1	0.6547178214800166
0	1	0.6660943155699254
0	2	0.6665030561920806
0	3	0.6665498242144584
0	4	0.6661847954226003
0	5	0.6657968796322455
0	0.1	0.6151608952157732
0	1	0.6289884422750276
0	2	0.6303482698726601
0	3	0.6303989067464677
0	4	0.6304717862461765
0	5	0.6304889715499472
0	0.1	0.5931882971821997
0	1	0.6188528947065532
0	2	0.6225501049830319
0	3	0.6237170454426552
0	4	0.6242808636162295
0	5	0.624645210541552
0	0.1	0.6388326192045705
0	1	0.6551940817123744
0	2	0.6556645120730487
0	3	0.6555124383965848
0	4	0.6552879307879308
0	5	0.6551021622667964
0	0.1	0.6571251861617715
0	1	0.6772722940710746
0	2	0.6785476547976548
0	3	0.6783676664469347
0	4	0.6781358231053353
0	5	0.678013908507811
0	0.1	0.6232294036196475
0	1	0.6426368476490428
0	2	0.6435610270549295
0	3	0.6434125214064238
0	4	0.643164315011876
0	5	0.6429734865527549
0	0.1	0.6155547193534998
0	1	0.6334678022970706
0	2	0.6345460983631716
0	3	0.6344470071116413
0	4	0.6340696951306708
0	5	0.6336957855067611
0	0.1	0.6550913936584668
0	1	0.6675851496095399
0	2	0.668139003986565
0	3	0.6678479132442547
0	4	0.667556531269946
0	5	0.6673462486877121
0	0.1	0.6321266048278243
0	1	0.6435586876074681
0	2	0.642413619194107
0	3	0.6418712615054079
0	4	0.6414348983129471
0	5	0.6410956409371044
0	0.1	0.6050100161136747
0	1	0.6221732873988972
0	2	0.6238383278749132
0	3	0.6241295912637376
0	4	0.624360270549295
0	5	0.6244580817751549
0	0.1	0.599455060461158
0	1	0.6122051790466425
0	2	0.6128200639664054
0	3	0.6126145718889622
0	4	0.6126497455643797
0	5	0.6123349490605589
0	0.1	0.6139716031362373
0	1	0.6273526261453091
0	2	0.6290618388423267
0	3	0.6294275224702054
0	4	0.6293897948471119
0	5	0.6293250654836021
0	0.1	0.6096216704509387
0	1	0.6323858719346525
0	2	0.6358707113036381
0	3	0.6369101802150583
0	4	0.6371597634219586
0	5	0.6373225464140099
0	0.1	0.5866128367043001
0	1	0.6140639550700526
0	2	0.6170008257386306
0	3	0.6179011066815945
0	4	0.6182840715279739
0	5	0.6184473497888132
0	0.1	0.6429847451981598
0	1	0.6570496262813336
0	2	0.6572016458967679
0	3	0.6566664425749792
0	4	0.656303890999013
0	5	0.6559557414557414
0	0.1	0.6302799410909167
0	1	0.6397155221423514
0	2	0.6398922441605368
0	3	0.6395754317034805
0	4	0.6392109260828773
0	5	0.6388510357046943
0	0.1	0.6021994110835575
0	1	0.6212716069728265
0	2	0.6234739635105488
0	3	0.6239798317481244
0	4	0.6241128271128271
0	5	0.6241213853226049
0	0.1	0.624540964309257
0	1	0.6387420565164468
0	2	0.6395657966328698
0	3	0.6394303528266942
0	4	0.6392116114372212
0	5	0.6389294224538127
0	0.1	0.6324649292149293
0	1	0.6425283680893437
0	2	0.6432310036517354
0	3	0.6432563356038966
0	4	0.6431688901445
0	5	0.6430276496008204
0	0.1	0.6148890955415346
0	1	0.6340387966363576
0	2	0.6356909296055637
0	3	0.6360841146024073
0	4	0.6363119949217511
0	5	0.6363966623417843
0	0.1	0.5940548327072718
0	1	0.6164072016267138
0	2	0.61840727923045
0	3	0.618601176088981
0	4	0.6186407025492392
0	5	0.6185514251184983
0	0.1	0.5891953896405115
0	1	0.613342558586461
0	2	0.6164871988713452
0	3	0.6172982782434002
0	4	0.6176073024243756
0	5	0.6178544677081262
0	0.1	0.600081795209844
0	1	0.6119162751601777
0	2	0.61287551488771
0	3	0.6130161023392731
0	4	0.6128633633633633
0	5	0.6126799421372592
0	0.1	0.5934515316710439
0	1	0.6095850223045345
0	2	0.6122102756066171
0	3	0.6128625254174035
0	4	0.6130234058099912
0	5	0.6131968658554025
0	0.1	0.5931158876646682
0	1	0.6157401094474265
0	2	0.6183863462765902
0	3	0.6190837815167084
0	4	0.6195184095245071
0	5	0.6197026015562601
0	0.1	0.6148762944128798
0	1	0.6323221662428979
0	2	0.634226471244764
0	3	0.6344337394886176
0	4	0.6342612150478004
0	5	0.6341567176933031
0	0.1	0.644752411819485
0	1	0.6513464056390885
0	2	0.6503510217534608
0	3	0.6495102986261523
0	4	0.6488681120144535
0	5	0.6485662535357657
0	0.1	0.6107141950312682
0	1	0.6382798382005699
0	2	0.6405735465430588
0	3	0.6410327322095615
0	4	0.641173666698057
0	5	0.6409534787400641
0	0.1	0.6026718382145212
0	1	0.6237651632468706
0	2	0.624869299613202
0	3	0.6249206977011855
0	4	0.6250661959869277
0	5	0.6251823600604088
0	0.1	0.5963839684632367
0	1	0.6259905506551848
0	2	0.6287022039461064
0	3	0.6294795937052035
0	4	0.6299117785032419
0	5	0.6299869259503406
0	0.1	0.6426984824545801
0	1	0.6684598963074573
0	2	0.670002725722238
